Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
XXYLT1,ENSG00000173950,Xyloside xylosyltransferase 1,Q8NBI6,614552.0,XXYLT1,152002.0,,,,
UBXN2A,ENSG00000173960,UBX domain protein 2A,P68543,,UBXN2A,165324.0,Centrosome,,,Centrosome (GO:0005813)
RAX2,ENSG00000173976,Retina and anterior neural fold homeobox 2,Q96IS3,610362.0,RAX2,84839.0,Nuclear speckles,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
TCAP,ENSG00000173991,Titin-cap,O15273,604488.0,TCAP,8557.0,,,,
CCS,ENSG00000173992,Copper chaperone for superoxide dismutase,O14618,603864.0,CCS,9973.0,,,,
NRROS,ENSG00000174004,Negative regulator of reactive oxygen species,Q86YC3,615322.0,NRROS,375387.0,,,,
CEP19,ENSG00000174007,Centrosomal protein 19,Q96LK0,615586.0,CEP19,84984.0,Basal body;Centrosome,Cytosol;Nucleoplasm,,Basal body (GO:0036064);Centrosome (GO:0005813);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
KLHL15,ENSG00000174010,Kelch like family member 15,Q96M94,300980.0,KLHL15,80311.0,Cytosol,Aggresome,,Aggresome (GO:0016235);Cytosol (GO:0005829)
FBXO45,ENSG00000174013,F-box protein 45,P0C2W1,609112.0,FBXO45,200933.0,Cytosol;Nucleoplasm;Plasma membrane,Vesicles,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
CBY2,ENSG00000174015,Chibby family member 2,Q8NA61,618614.0,CBY2,220082.0,Annulus;Calyx;Connecting piece;End piece;Mid piece;Principal piece,,,Annulus ();Calyx ();Connecting piece ();End piece ();Mid piece ();Principal piece ()
TENT5D,ENSG00000174016,Terminal nucleotidyltransferase 5D,Q8NEK8,300976.0,TENT5D,169966.0,,,,
GNG5,ENSG00000174021,G protein subunit gamma 5,P63218,600874.0,GNG5,2787.0,,,,
SLC25A30,ENSG00000174032,Solute carrier family 25 member 30,Q5SVS4,610793.0,SLC25A30,253512.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
C9orf131,ENSG00000174038,Chromosome 9 open reading frame 131,Q5VYM1,,SPATA31G1,138724.0,Mitochondria,,,Mitochondria (GO:0005739)
CD34,ENSG00000174059,CD34 molecule,P28906,142230.0,CD34,947.0,Cell Junctions;Plasma membrane,Nucleoplasm,,Cell Junctions (GO:0030054);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
CTSF,ENSG00000174080,Cathepsin F,Q9UBX1,603539.0,CTSF,8722.0,Vesicles,Endoplasmic reticulum;Plasma membrane,,Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
MSRB3,ENSG00000174099,Methionine sulfoxide reductase B3,Q8IXL7,613719.0,MSRB3,253827.0,,,,
LEMD3,ENSG00000174106,LEM domain containing 3,Q9Y2U8,607844.0,LEMD3,23592.0,Nuclear membrane,,,Nuclear membrane (GO:0031965)
C16orf91,ENSG00000174109,Chromosome 16 open reading frame 91,Q4G0I0,620578.0,UQCC4,283951.0,,,,
TLR10,ENSG00000174123,Toll like receptor 10,Q9BXR5,606270.0,TLR10,81793.0,Plasma membrane,Endoplasmic reticulum,,Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886)
TLR1,ENSG00000174125,Toll like receptor 1,Q15399,601194.0,TLR1,7096.0,,,,
TLR6,ENSG00000174130,Toll like receptor 6,Q9Y2C9,605403.0,TLR6,10333.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
FAM174A,ENSG00000174132,Family with sequence similarity 174 member A,Q8TBP5,,FAM174A,345757.0,Golgi apparatus,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
RGMB,ENSG00000174136,Repulsive guidance molecule BMP co-receptor b,Q6NW40,612687.0,RGMB,285704.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
FAM53A,ENSG00000174137,Family with sequence similarity 53 member A,Q6NSI3,617229.0,FAM53A,152877.0,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
NWD2,ENSG00000174145,NACHT and WD repeat domain containing 2,Q9ULI1,620172.0,NWD2,57495.0,,,,
CYB561D1,ENSG00000174151,Cytochrome b561 family member D1,Q8N8Q1,,CYB561D1,284613.0,,,,
GSTA3,ENSG00000174156,Glutathione S-transferase alpha 3,Q16772,605449.0,GSTA3,2940.0,Cytosol,,,Cytosol (GO:0005829)
ZDHHC24,ENSG00000174165,Zinc finger DHHC-type containing 24,Q6UX98,,ZDHHC24,254359.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
TRMT10C,ENSG00000174173,"TRNA methyltransferase 10C, mitochondrial RNase P subunit",Q7L0Y3,615423.0,TRMT10C,54931.0,Mitochondria,Nucleoplasm,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
SELP,ENSG00000174175,Selectin P,P16109,173610.0,SELP,6403.0,,,,
CTU2,ENSG00000174177,Cytosolic thiouridylase subunit 2,Q2VPK5,617057.0,CTU2,348180.0,Cytosol;Mitochondria,,,Cytosol (GO:0005829);Mitochondria (GO:0005739)
MGA,ENSG00000174197,MAX dimerization protein MGA,Q8IWI9,616061.0,MGA,23269.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
KICS2,ENSG00000174206,KICSTOR subunit 2,Q96MD2,617420.0,KICS2,144577.0,Lysosomes,Cytokinetic bridge,,Cytokinetic bridge (GO:0045171);Lysosomes (GO:0005764)
ARL13A,ENSG00000174225,ADP ribosylation factor like GTPase 13A,Q5H913,,ARL13A,392509.0,Actin filaments;Connecting piece;Mid piece;Plasma membrane,Acrosome;Cytosol;Principal piece,,Acrosome ();Actin filaments (GO:0015629);Connecting piece ();Cytosol (GO:0005829);Mid piece ();Plasma membrane (GO:0005886);Principal piece ()
SNX31,ENSG00000174226,Sorting nexin 31,Q8N9S9,619839.0,SNX31,169166.0,Golgi apparatus;Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
PIGG,ENSG00000174227,Phosphatidylinositol glycan anchor biosynthesis class G,Q5H8A4,616918.0,PIGG,54872.0,,,,
PRPF8,ENSG00000174231,Pre-mRNA processing factor 8,Q6P2Q9,607300.0,PRPF8,10594.0,Nuclear speckles;Nucleoplasm,,,Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
ADCY6,ENSG00000174233,Adenylate cyclase 6,O43306,600294.0,ADCY6,112.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
REP15,ENSG00000174236,RAB15 effector protein,Q6BDI9,610848.0,REP15,387849.0,,,,
PITPNA,ENSG00000174238,Phosphatidylinositol transfer protein alpha,Q00169,600174.0,PITPNA,5306.0,Cytosol,Vesicles,,Cytosol (GO:0005829);Vesicles (GO:0043231)
DDX23,ENSG00000174243,DEAD-box helicase 23,Q9BUQ8,612172.0,DDX23,9416.0,Nucleoli;Nucleoplasm,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ZNF80,ENSG00000174255,Zinc finger protein 80,P51504,194553.0,ZNF80,7634.0,Nucleoli,Nucleoplasm,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ZNHIT2,ENSG00000174276,Zinc finger HIT-type containing 2,Q9UHR6,604575.0,ZNHIT2,741.0,,,,
EVX2,ENSG00000174279,Even-skipped homeobox 2,Q03828,142991.0,EVX2,344191.0,,,,
ZBTB4,ENSG00000174282,Zinc finger and BTB domain containing 4,Q9P1Z0,612308.0,ZBTB4,57659.0,Nuclear bodies,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
TNK1,ENSG00000174292,Tyrosine kinase non receptor 1,Q13470,608076.0,TNK1,8711.0,Cell Junctions,,,Cell Junctions (GO:0030054)
ZHX3,ENSG00000174306,Zinc fingers and homeoboxes 3,Q9H4I2,609598.0,ZHX3,23051.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
PHLDA3,ENSG00000174307,Pleckstrin homology like domain family A member 3,Q9Y5J5,607054.0,PHLDA3,23612.0,,,,
SLC16A13,ENSG00000174327,Solute carrier family 16 member 13,Q7RTY0,,SLC16A13,201232.0,Golgi apparatus,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
GLIS1,ENSG00000174332,GLIS family zinc finger 1,Q8NBF1,610378.0,GLIS1,148979.0,Nucleoplasm,Cytosol;Nuclear bodies,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
OR2Y1,ENSG00000174339,Olfactory receptor family 2 subfamily Y member 1,Q8NGV0,,OR2Y1,134083.0,,,,
CHRNA9,ENSG00000174343,Cholinergic receptor nicotinic alpha 9 subunit,Q9UGM1,605116.0,CHRNA9,55584.0,,,,
PODN,ENSG00000174348,Podocan,Q7Z5L7,608661.0,PODN,127435.0,,,,
SLC6A19,ENSG00000174358,Solute carrier family 6 member 19,Q695T7,608893.0,SLC6A19,340024.0,,,,
EXO1,ENSG00000174371,Exonuclease 1,Q9UQ84,606063.0,EXO1,9156.0,Nucleoplasm,Nuclear bodies,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
RALGAPA1,ENSG00000174373,Ral GTPase activating protein catalytic subunit alpha 1,Q6GYQ0,608884.0,RALGAPA1,253959.0,Cytosol,Mid piece;Mitochondria;Principal piece,,Cytosol (GO:0005829);Mid piece ();Mitochondria (GO:0005739);Principal piece ()
LIG4,ENSG00000174405,DNA ligase 4,P49917,601837.0,LIG4,3981.0,Nucleoplasm,Vesicles,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
TRHR,ENSG00000174417,Thyrotropin releasing hormone receptor,P34981,188545.0,TRHR,7201.0,,,,
GTF2IRD2B,ENSG00000174428,GTF2I repeat domain containing 2B,Q6EKJ0,608900.0,GTF2IRD2B,389524.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ABRA,ENSG00000174429,Actin binding Rho activating protein,Q8N0Z2,609747.0,ABRA,137735.0,,,,
ATP2A2,ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,P16615,108740.0,ATP2A2,488.0,Nucleoplasm;Plasma membrane,End piece;Mid piece;Perinuclear theca;Primary cilium,,End piece ();Mid piece ();Nucleoplasm (GO:0005654);Perinuclear theca ();Plasma membrane (GO:0005886);Primary cilium (GO:0005929)
ZWILCH,ENSG00000174442,Zwilch kinetochore protein,Q9H900,609984.0,ZWILCH,55055.0,,,,
RPL4,ENSG00000174444,Ribosomal protein L4,P36578,180479.0,RPL4,6124.0,Cytosol;Endoplasmic reticulum,Nuclear bodies;Nucleoli,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Nuclear bodies (GO:0016604);Nucleoli (GO:0005730)
SNAPC5,ENSG00000174446,Small nuclear RNA activating complex polypeptide 5,O75971,605979.0,SNAPC5,10302.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
STARD6,ENSG00000174448,StAR related lipid transfer domain containing 6,P59095,607051.0,STARD6,147323.0,,,,
GOLGA6L2,ENSG00000174450,Golgin A6 family like 2,Q8N9W4,,GOLGA6L2,283685.0,,,,
VWC2L,ENSG00000174453,Von Willebrand factor C domain containing 2 like,B2RUY7,619794.0,VWC2L,402117.0,,,,
ZCCHC12,ENSG00000174460,Zinc finger CCHC-type containing 12,Q6PEW1,300701.0,ZCCHC12,170261.0,Nuclear bodies,,,Nuclear bodies (GO:0016604)
CNTNAP2,ENSG00000174469,Contactin associated protein 2,Q9UHC6,604569.0,CNTNAP2,26047.0,,,,
GALNTL6,ENSG00000174473,Polypeptide N-acetylgalactosaminyltransferase like 6,Q49A17,615138.0,GALNTL6,442117.0,,,,
LINGO2,ENSG00000174482,Leucine rich repeat and Ig domain containing 2,Q7L985,609793.0,LINGO2,158038.0,Cytoplasmic bodies,Nucleoplasm,,Cytoplasmic bodies (GO:0036464);Nucleoplasm (GO:0005654)
BBS1,ENSG00000174483,Bardet-Biedl syndrome 1,Q8NFJ9,209901.0,BBS1,582.0,Midbody,,,Midbody (GO:0030496)
DENND4A,ENSG00000174485,DENN domain containing 4A,Q7Z401,600382.0,DENND4A,10260.0,Nucleoli rim,Mitotic chromosome;Nucleoplasm,,Mitotic chromosome (GO:0005694);Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
IGDCC3,ENSG00000174498,Immunoglobulin superfamily DCC subclass member 3,Q8IVU1,604184.0,IGDCC3,9543.0,Nucleoplasm;Vesicles,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
GCSAM,ENSG00000174500,Germinal center associated signaling and motility,Q8N6F7,607792.0,GCSAM,257144.0,,,,
ANKRD36C,ENSG00000174501,Ankyrin repeat domain 36C,Q5JPF3,,ANKRD36C,400986.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
SLC26A9,ENSG00000174502,Solute carrier family 26 member 9,Q7LBE3,608481.0,SLC26A9,115019.0,Cell Junctions,,,Cell Junctions (GO:0030054)
MFSD4A,ENSG00000174514,Major facilitator superfamily domain containing 4A,Q8N468,620299.0,MFSD4A,148808.0,,,,
PELI3,ENSG00000174516,Pellino E3 ubiquitin protein ligase family member 3,Q8N2H9,609827.0,PELI3,246330.0,Nucleoplasm;Vesicles,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
TTC9B,ENSG00000174521,Tetratricopeptide repeat domain 9B,Q8N6N2,,TTC9B,148014.0,Mitochondria;Nucleoplasm,Vesicles,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
TMEM81,ENSG00000174529,Transmembrane protein 81,Q6P7N7,,TMEM81,388730.0,Intermediate filaments,,,Intermediate filaments (GO:0045111)
MRPL11,ENSG00000174547,Mitochondrial ribosomal protein L11,Q9Y3B7,611826.0,MRPL11,65003.0,Mitochondria,,,Mitochondria (GO:0005739)
KLK15,ENSG00000174562,Kallikrein related peptidase 15,Q9H2R5,610601.0,KLK15,55554.0,,,,
IL20RB,ENSG00000174564,Interleukin 20 receptor subunit beta,Q6UXL0,605621.0,IL20RB,53833.0,Vesicles,Cytosol,,Cytosol (GO:0005829);Vesicles (GO:0043231)
GOLT1A,ENSG00000174567,Golgi transport 1A,Q6ZVE7,620633.0,GOLT1A,127845.0,,,,
AKIRIN1,ENSG00000174574,Akirin 1,Q9H9L7,615164.0,AKIRIN1,79647.0,Nucleoplasm,Nuclear membrane,,Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
NPAS4,ENSG00000174576,Neuronal PAS domain protein 4,Q8IUM7,608554.0,NPAS4,266743.0,Nuclear bodies;Nucleoplasm,Nuclear membrane;Vesicles,,Nuclear bodies (GO:0016604);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
MSL2,ENSG00000174579,MSL complex subunit 2,Q9HCI7,614802.0,MSL2,55167.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ZNF497,ENSG00000174586,Zinc finger protein 497,Q6ZNH5,,ZNF497,162968.0,Nucleoplasm,Cell Junctions,,Cell Junctions (GO:0030054);Nucleoplasm (GO:0005654)
TRAM1L1,ENSG00000174599,Translocation associated membrane protein 1 like 1,Q8N609,617505.0,TRAM1L1,133022.0,Mitochondria,,,Mitochondria (GO:0005739)
CMKLR1,ENSG00000174600,Chemerin chemokine-like receptor 1,Q99788,602351.0,CMKLR1,1240.0,,,,
ANGEL2,ENSG00000174606,Angel homolog 2,Q5VTE6,619001.0,ANGEL2,90806.0,Nucleoplasm,Mitochondria;Nuclear bodies,,Mitochondria (GO:0005739);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
UGT8,ENSG00000174607,UDP glycosyltransferase 8,Q16880,601291.0,UGT8,7368.0,Mitochondria,,,Mitochondria (GO:0005739)
KY,ENSG00000174611,Kyphoscoliosis peptidase,Q8NBH2,605739.0,KY,339855.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
IQCK,ENSG00000174628,IQ motif containing K,Q8N0W5,,IQCK,124152.0,Nuclear speckles,Cytosol,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
SLCO2A1,ENSG00000174640,Solute carrier organic anion transporter family member 2A1,Q92959,601460.0,SLCO2A1,6578.0,,,,
ZNF266,ENSG00000174652,Zinc finger protein 266,Q14584,604751.0,ZNF266,10781.0,Vesicles,Nucleoplasm;Rods & Rings,,Nucleoplasm (GO:0005654);Rods & Rings ();Vesicles (GO:0043231)
OR7D4,ENSG00000174667,Olfactory receptor family 7 subfamily D member 4,Q8NG98,611538.0,OR7D4,125958.0,,,,
SLC29A2,ENSG00000174669,Solute carrier family 29 member 2,Q14542,602110.0,SLC29A2,3177.0,,,,
BRSK2,ENSG00000174672,BR serine/threonine kinase 2,Q8IWQ3,609236.0,BRSK2,9024.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
B4GAT1,ENSG00000174684,"Beta-1,4-glucuronyltransferase 1",O43505,605517.0,B4GAT1,11041.0,,,,
TMEM167A,ENSG00000174695,Transmembrane protein 167A,Q8TBQ9,620000.0,TMEM167A,153339.0,Vesicles,,,Vesicles (GO:0043231)
LEP,ENSG00000174697,Leptin,P41159,164160.0,LEP,3952.0,Plasma membrane;Vesicles,,Predicted to be secreted,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
SH3PXD2B,ENSG00000174705,SH3 and PX domains 2B,A1X283,613293.0,SH3PXD2B,285590.0,Plasma membrane,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
RESF1,ENSG00000174718,Retroelement silencing factor 1,Q9HCM1,615621.0,RESF1,55196.0,Nucleoli;Nucleoli rim,Cytosol;Intermediate filaments,,Cytosol (GO:0005829);Intermediate filaments (GO:0045111);Nucleoli (GO:0005730);Nucleoli rim (GO:0005730)
LARP7,ENSG00000174720,"La ribonucleoprotein 7, transcriptional regulator",Q4G0J3,612026.0,LARP7,51574.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
FGFBP3,ENSG00000174721,Fibroblast growth factor binding protein 3,Q8TAT2,620879.0,FGFBP3,143282.0,,,,
NR1D2,ENSG00000174738,Nuclear receptor subfamily 1 group D member 2,Q14995,602304.0,NR1D2,9975.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
PABPC5,ENSG00000174740,Poly(A) binding protein cytoplasmic 5,Q96DU9,300407.0,PABPC5,140886.0,,,,
BRMS1,ENSG00000174744,BRMS1 transcriptional repressor and anoikis regulator,Q9HCU9,606259.0,BRMS1,25855.0,Centrosome,,,Centrosome (GO:0005813)
RPL15,ENSG00000174748,Ribosomal protein L15,P61313,604174.0,RPL15,6138.0,,,,
FAM241A,ENSG00000174749,Family with sequence similarity 241 member A,Q8N8J7,,FAM241A,132720.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
HRAS,ENSG00000174775,"HRas proto-oncogene, GTPase",P01112,190020.0,HRAS,3265.0,Cytosol;Nucleoplasm,Basal body,,Basal body (GO:0036064);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
WDR49,ENSG00000174776,WD repeat domain 49,Q8IV35,,WDR49,151790.0,Nuclear bodies;Nucleoplasm,Basal body;Cytosol;Primary cilium tip;Primary cilium transition zone,,Basal body (GO:0036064);Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Primary cilium tip ();Primary cilium transition zone ()
SRP72,ENSG00000174780,Signal recognition particle 72,O76094,602122.0,SRP72,6731.0,,,,
PCP2,ENSG00000174788,Purkinje cell protein 2,Q8IVA1,619344.0,PCP2,126006.0,Nuclear speckles,Vesicles,,Nuclear speckles (GO:0016607);Vesicles (GO:0043231)
RIN1,ENSG00000174791,Ras and Rab interactor 1,Q13671,605965.0,RIN1,9610.0,,,,
ODAPH,ENSG00000174792,Odontogenesis associated phosphoprotein,Q17RF5,614829.0,ODAPH,152816.0,,,,
THAP6,ENSG00000174796,THAP domain containing 6,Q8TBB0,612535.0,THAP6,152815.0,Centrosome,Nucleoplasm,,Centrosome (GO:0005813);Nucleoplasm (GO:0005654)
CEP135,ENSG00000174799,Centrosomal protein 135,Q66GS9,611423.0,CEP135,9662.0,Mid piece;Principal piece,Acrosome;Annulus,,Acrosome ();Annulus ();Mid piece ();Principal piece ()
FZD4,ENSG00000174804,Frizzled class receptor 4,Q9ULV1,604579.0,FZD4,8322.0,Plasma membrane,Nucleoplasm;Primary cilium,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Primary cilium (GO:0005929)
CD248,ENSG00000174807,CD248 molecule,Q9HCU0,606064.0,CD248,57124.0,Plasma membrane,,,Plasma membrane (GO:0005886)
BTC,ENSG00000174808,Betacellulin,P35070,600345.0,BTC,685.0,,,,
PDZK1,ENSG00000174827,PDZ domain containing 1,Q5T2W1,603831.0,PDZK1,5174.0,Nucleoplasm;Vesicles,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ADGRE1,ENSG00000174837,Adhesion G protein-coupled receptor E1,Q14246,600493.0,ADGRE1,2015.0,,,,
DENND6A,ENSG00000174839,DENN domain containing 6A,Q8IWF6,620561.0,DENND6A,201627.0,Vesicles,,,Vesicles (GO:0043231)
PDE12,ENSG00000174840,Phosphodiesterase 12,Q6L8Q7,616519.0,PDE12,201626.0,,,,
GLMN,ENSG00000174842,"Glomulin, FKBP associated protein",Q92990,601749.0,GLMN,11146.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
DNAH12,ENSG00000174844,Dynein axonemal heavy chain 12,Q6ZR08,603340.0,DNAH12,201625.0,Centrosome;Mid piece;Principal piece,Cytosol,,Centrosome (GO:0005813);Cytosol (GO:0005829);Mid piece ();Principal piece ()
YIF1A,ENSG00000174851,"Yip1 interacting factor homolog A, membrane trafficking protein",O95070,611484.0,YIF1A,10897.0,Golgi apparatus;Vesicles,,,Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
CNIH2,ENSG00000174871,Cornichon family AMPA receptor auxiliary protein 2,Q6PI25,611288.0,CNIH2,254263.0,,,,
AMY1B,ENSG00000174876,Amylase alpha 1B,P0DTE7,104701.0,AMY1B,277.0,Cytosol;Golgi apparatus,,Predicted to be secreted,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
NLRP6,ENSG00000174885,NLR family pyrin domain containing 6,P59044,609650.0,NLRP6,171389.0,,,,
NDUFA11,ENSG00000174886,NADH:ubiquinone oxidoreductase subunit A11,Q86Y39,612638.0,NDUFA11,126328.0,End piece;Mitochondria,Perinuclear theca;Principal piece,,End piece ();Mitochondria (GO:0005739);Perinuclear theca ();Principal piece ()
RSRC1,ENSG00000174891,Arginine and serine rich coiled-coil 1,Q96IZ7,613352.0,RSRC1,51319.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
CATSPERD,ENSG00000174898,Cation channel sperm associated auxiliary subunit delta,Q86XM0,617490.0,CATSPERD,257062.0,Mid piece,,,Mid piece ()
RAB1B,ENSG00000174903,"RAB1B, member RAS oncogene family",Q9H0U4,612565.0,RAB1B,81876.0,Golgi apparatus,Endoplasmic reticulum,,Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794)
OR9G1,ENSG00000174914,Olfactory receptor family 9 subfamily G member 1,Q8NH87,,OR9G1,390174.0,,,,
PTDSS2,ENSG00000174915,Phosphatidylserine synthase 2,Q9BVG9,612793.0,PTDSS2,81490.0,,,,
MICOS13,ENSG00000174917,Mitochondrial contact site and cristae organizing system subunit 13,Q5XKP0,616658.0,MICOS13,125988.0,Mitochondria,Nucleoplasm,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
C3orf33,ENSG00000174928,Chromosome 3 open reading frame 33,Q6P1S2,619654.0,C3orf33,285315.0,,,,
OR5M3,ENSG00000174937,Olfactory receptor family 5 subfamily M member 3,Q8NGP4,,OR5M3,219482.0,,,,
SEZ6L2,ENSG00000174938,Seizure related 6 homolog like 2,Q6UXD5,616667.0,SEZ6L2,26470.0,,,,
ASPHD1,ENSG00000174939,Aspartate beta-hydroxylase domain containing 1,Q5U4P2,,ASPHD1,253982.0,,,,
KCTD13,ENSG00000174943,Potassium channel tetramerization domain containing 13,Q8WZ19,608947.0,KCTD13,253980.0,Nuclear bodies;Nucleoplasm,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
P2RY14,ENSG00000174944,Purinergic receptor P2Y14,Q15391,610116.0,P2RY14,9934.0,,,,
AMZ1,ENSG00000174945,Archaelysin family metallopeptidase 1,Q400G9,615168.0,AMZ1,155185.0,,,,
GPR171,ENSG00000174946,G protein-coupled receptor 171,O14626,618925.0,GPR171,29909.0,Plasma membrane;Vesicles,,,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
GPR149,ENSG00000174948,G protein-coupled receptor 149,Q86SP6,,GPR149,344758.0,,,,
CD164L2,ENSG00000174950,CD164 molecule like 2,Q6UWJ8,,CD164L2,388611.0,Cytosol,Plasma membrane,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
FUT1,ENSG00000174951,Fucosyltransferase 1 (H blood group),P19526,211100.0,FUT1,2523.0,,,,
DHX36,ENSG00000174953,DEAH-box helicase 36,Q9H2U1,612767.0,DHX36,170506.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
OR5J2,ENSG00000174957,Olfactory receptor family 5 subfamily J member 2,Q8NH18,,OR5J2,282775.0,,,,
ZIC4,ENSG00000174963,Zic family member 4,Q8N9L1,608948.0,ZIC4,84107.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
OR10AG1,ENSG00000174970,Olfactory receptor family 10 subfamily AG member 1,Q8NH19,,OR10AG1,282770.0,,,,
OR4S2,ENSG00000174982,Olfactory receptor family 4 subfamily S member 2,Q8NH73,,OR4S2,219431.0,,,,
FBXW8,ENSG00000174989,F-box and WD repeat domain containing 8,Q8N3Y1,609073.0,FBXW8,26259.0,Cytosol,,,Cytosol (GO:0005829)
CA5A,ENSG00000174990,Carbonic anhydrase 5A,P35218,114761.0,CA5A,763.0,,,,
ZG16,ENSG00000174992,Zymogen granule protein 16,O60844,617311.0,ZG16,653808.0,Annulus,Mid piece;Principal piece,Predicted to be secreted,Annulus ();Mid piece ();Principal piece ()
KLC2,ENSG00000174996,Kinesin light chain 2,Q9H0B6,611729.0,KLC2,64837.0,Cytosol;Plasma membrane,Mitochondria;Nucleoplasm,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
SLC22A1,ENSG00000175003,Solute carrier family 22 member 1,O15245,602607.0,SLC22A1,6580.0,,,,
TEX36,ENSG00000175018,Testis expressed 36,Q5VZQ5,,TEX36,387718.0,Vesicles,Cytosol,,Cytosol (GO:0005829);Vesicles (GO:0043231)
CTBP2,ENSG00000175029,C-terminal binding protein 2,P56545,602619.0,CTBP2,1488.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
